sim_id,pity_threshold,player_type,population_share,fatigue,boxes_opened,boxes_opened_weighted,utility,revenue,dev_cost_allocated,net_revenue,participated
44,90,Casual,0.3,0.11274697133741368,37.42282840307147,11.226848520921441,316.95813238957805,43.33563529075676,1.3499999999999999,41.98563529075676,1
44,90,F2P,0.65,0.46472267165076264,0.0,0.0,0.0,0.0,0.0,0.0,0
45,90,Whale,0.05,0.06755898337115403,90.00000477583858,4.500000238791929,2165.6619446167983,17.370000921736846,0.225,17.145000921736845,1
45,90,Casual,0.3,0.18102707304764548,41.98954226197566,12.596862678592696,614.0367163292599,48.62388993936781,1.3499999999999999,47.273889939367805,1
45,90,F2P,0.65,0.5511325999438941,0.0,0.0,0.0,0.0,0.0,0.0,0
46,90,Whale,0.05,0.043867778354976364,90.00000477583858,4.500000238791929,4833.084013151353,17.370000921736846,0.225,17.145000921736845,1
46,90,Casual,0.3,0.18712275669813433,20.72658384215192,6.217975152645576,163.4790821657746,24.001384089211925,1.3499999999999999,22.651384089211923,1
46,90,F2P,0.65,0.5410445767419774,0.0,0.0,0.0,0.0,0.0,0.0,0
47,90,Whale,0.05,0.049812760290305354,90.00000477583858,4.500000238791929,2547.7280378695814,17.370000921736846,0.225,17.145000921736845,1
47,90,Casual,0.3,0.16849412406299524,24.362297814192463,7.308689344257738,194.22918265884942,28.21154086883487,1.3499999999999999,26.86154086883487,1
47,90,F2P,0.65,0.5865382456941847,0.0,0.0,0.0,0.0,0.0,0.0,0
48,90,Whale,0.05,0.05917907142628623,90.00000477583858,4.500000238791929,4318.0158187834695,17.370000921736846,0.225,17.145000921736845,1
48,90,Casual,0.3,0.1511823706223398,29.056808186010603,8.717042455803181,222.83473276539073,33.64778387940027,1.3499999999999999,32.29778387940027,1
48,90,F2P,0.65,0.47319843907477327,0.0,0.0,0.0,0.0,0.0,0.0,0
49,90,Whale,0.05,0.04430470598402548,26.666729017003103,1.3333364508501553,74.41035513944928,5.1466787002815995,0.225,4.9216787002816,1
49,90,Casual,0.3,0.1832632173659676,45.56678328415312,13.670034985245936,726.6056276133763,52.76633504304931,1.3499999999999999,51.41633504304931,1
49,90,F2P,0.65,0.5717270916739402,0.0,0.0,0.0,0.0,0.0,0.0,0
50,90,Whale,0.05,0.050074598654343966,90.00000477583858,4.500000238791929,1894.185838715557,17.370000921736846,0.225,17.145000921736845,1
50,90,Casual,0.3,0.1468748824359971,29.732270950329998,8.919681285099,315.02936663703593,34.42996976048214,1.3499999999999999,33.079969760482136,1
50,90,F2P,0.65,0.4817957917828466,0.0,0.0,0.0,0.0,0.0,0.0,0
51,90,Whale,0.05,0.07096149038060898,38.38293432718684,1.919146716359342,268.42106542245426,7.40790632514706,0.225,7.18290632514706,1
51,90,Casual,0.3,0.12300674032240215,30.264026577809435,9.07920797334283,247.71980988271503,35.04574277710332,1.3499999999999999,33.69574277710332,1
51,90,F2P,0.65,0.5560717812946665,0.0,0.0,0.0,0.0,0.0,0.0,0
52,90,Whale,0.05,0.060435694210277016,64.14084859090309,3.2070424295451545,645.3522666870289,12.379183778044297,0.225,12.154183778044297,1
52,90,Casual,0.3,0.12900435997983986,18.558843743131696,5.567653122939508,154.96456310335543,21.491141054546503,1.3499999999999999,20.1411410545465,1
52,90,F2P,0.65,0.5377090840933183,0.0,0.0,0.0,0.0,0.0,0.0,0
53,90,Whale,0.05,0.06701667755514325,38.87787995699838,1.943893997849919,436.8934973701798,7.503430831700687,0.225,7.278430831700687,1
53,90,Casual,0.3,0.12889127905415312,27.519481977409484,8.255844593222845,187.84216594003632,31.86756012984018,1.3499999999999999,30.517560129840177,1
53,90,F2P,0.65,0.5729628163667986,0.0,0.0,0.0,0.0,0.0,0.0,0
54,90,Whale,0.05,0.0708101982103683,90.00000477583858,4.500000238791929,2857.593957124713,17.370000921736846,0.225,17.145000921736845,1
54,90,Casual,0.3,0.10407386618762153,22.231630651832678,6.6694891955498035,101.89593464839956,25.74422829482224,1.3499999999999999,24.394228294822238,1
54,90,F2P,0.65,0.4346691942705022,0.0,0.0,0.0,0.0,0.0,0.0,0
55,90,Whale,0.05,0.03168721359462312,49.14098291268463,2.4570491456342314,387.3705415520854,9.484209702148133,0.225,9.259209702148134,1
55,90,Casual,0.3,0.17167230374693737,9.821492643917873,2.946447793175362,31.39894583261966,11.373288481656896,1.3499999999999999,10.023288481656897,1
55,90,F2P,0.65,0.4882282862930759,0.5091859613155724,0.33097087485512205,0.19784078504214164,1.277547576940771,2.9250000000000003,-1.6474524230592293,1
56,90,Whale,0.05,0.07416694529850815,27.109781113461956,1.3554890556730979,142.12740878009777,5.232187754898158,0.225,5.007187754898158,1
56,90,Casual,0.3,0.10078660359238505,46.36479008763385,13.909437026290155,539.8987792645032,53.69042692148,1.3499999999999999,52.340426921479995,1
56,90,F2P,0.65,0.5537884934476982,0.0,0.0,0.0,0.0,0.0,0.0,0
57,90,Whale,0.05,0.039612050058414366,45.570123833198664,2.2785061916599334,305.6384348553181,8.795033899807342,0.225,8.570033899807342,1
57,90,Casual,0.3,0.10232923417492223,22.46375869583884,6.7391276087516525,109.22704937322116,26.013032569781377,1.3499999999999999,24.663032569781375,1
57,90,F2P,0.65,0.44700429488645216,0.0,0.0,0.0,0.0,0.0,0.0,0
58,90,Whale,0.05,0.0363472353282506,90.00000477583858,4.500000238791929,1594.3287773853294,17.370000921736846,0.225,17.145000921736845,1
58,90,Casual,0.3,0.19570299633240906,35.57289538650928,10.671868615952784,437.14633847478,41.19341285757774,1.3499999999999999,39.84341285757774,1
58,90,F2P,0.65,0.5091901025923785,0.0,0.0,0.0,0.0,0.0,0.0,0
59,90,Whale,0.05,0.04900967915443688,56.717497269827014,2.835874863491351,642.5312747676413,10.946476973076614,0.225,10.721476973076614,1
59,90,Casual,0.3,0.11853508792787698,10.155996349274655,3.0467989047823965,52.3961905916474,11.76064377246005,1.3499999999999999,10.41064377246005,1
59,90,F2P,0.65,0.5369883732057126,0.0,0.0,0.0,0.0,0.0,0.0,0
60,90,Whale,0.05,0.06962908049103253,25.314744794664847,1.2657372397332425,135.08119981163088,4.885745745370316,0.225,4.660745745370316,1
60,90,Casual,0.3,0.10379661801945284,32.25079125298261,9.675237375894783,317.60185377336313,37.34641627095386,1.3499999999999999,35.99641627095386,1
60,90,F2P,0.65,0.5191009506139649,0.0,0.0,0.0,0.0,0.0,0.0,0
61,90,Whale,0.05,0.07373213770634171,65.65937365635963,3.282968682817982,785.1741916528716,12.67225911567741,0.225,12.44725911567741,1
61,90,Casual,0.3,0.11584689290565886,11.696166605581524,3.5088499816744574,46.82696747226731,13.544160929263404,1.3499999999999999,12.194160929263404,1
61,90,F2P,0.65,0.5128009048654513,0.0,0.0,0.0,0.0,0.0,0.0,0
62,90,Whale,0.05,0.07921844537069488,33.75233914877484,1.6876169574387418,244.20762885585296,6.514201455713544,0.225,6.2892014557135445,1
62,90,Casual,0.3,0.11870759137159807,21.035889298888925,6.310766789666677,154.01342032909096,24.359559808113374,1.3499999999999999,23.009559808113373,1
62,90,F2P,0.65,0.4374316256380959,0.0,0.0,0.0,0.0,0.0,0.0,0
63,90,Whale,0.05,0.04501118246793024,90.00000477583858,4.500000238791929,1978.0704184458891,17.370000921736846,0.225,17.145000921736845,1
63,90,Casual,0.3,0.17511107528889835,26.04508138525723,7.813524415577168,308.87823247248207,30.160204244127872,1.3499999999999999,28.81020424412787,1
63,90,F2P,0.65,0.5148003568215563,0.0,0.0,0.0,0.0,0.0,0.0,0
64,90,Whale,0.05,0.06888308544317458,90.00000477583858,4.500000238791929,2152.863673731946,17.370000921736846,0.225,17.145000921736845,1
64,90,Casual,0.3,0.19826511642117362,23.793893640662894,7.138168092198868,173.5586813663125,27.55332883588763,1.3499999999999999,26.20332883588763,1
64,90,F2P,0.65,0.5260680602277608,0.0,0.0,0.0,0.0,0.0,0.0,0
65,90,Whale,0.05,0.059186804219068745,38.54704629670793,1.9273523148353968,313.008116194908,7.439579935264631,0.225,7.214579935264632,1
65,90,Casual,0.3,0.15470061675642588,11.216322454717211,3.3648967364151634,35.883046709650706,12.98850140256253,1.3499999999999999,11.63850140256253,1
65,90,F2P,0.65,0.5583062978821941,0.0,0.0,0.0,0.0,0.0,0.0,0
66,90,Whale,0.05,0.037966652277160735,90.00000477583858,4.500000238791929,2968.475065872741,17.370000921736846,0.225,17.145000921736845,1
66,90,Casual,0.3,0.16794697091112504,20.37493548969463,6.112480646908389,128.21779370003577,23.59417529706638,1.3499999999999999,22.244175297066377,1
66,90,F2P,0.65,0.45570205559924043,0.0,0.0,0.0,0.0,0.0,0.0,0
67,90,Whale,0.05,0.03841160053409533,53.535483134598735,2.676774156729937,614.9944276801431,10.332348244977556,0.225,10.107348244977556,1
67,90,Casual,0.3,0.14007972423285528,7.260643183716213,2.1781929551148638,15.70381269670556,8.407824806743374,1.3499999999999999,7.057824806743374,1
67,90,F2P,0.65,0.46298755629704147,0.0,0.0,0.0,0.0,0.0,0.0,0
68,90,Whale,0.05,0.07151182636552758,63.8993598972965,3.1949679948648253,828.1632645750373,12.332576460178224,0.225,12.107576460178224,1
68,90,Casual,0.3,0.11714983380411141,19.12686321581107,5.738058964743321,103.67896464587213,22.14890760390922,1.3499999999999999,20.798907603909218,1
68,90,F2P,0.65,0.555271654582428,0.0,0.0,0.0,0.0,0.0,0.0,0
69,90,Whale,0.05,0.03138653887808464,90.00000477583858,4.500000238791929,3510.5927133616474,17.370000921736846,0.225,17.145000921736845,1
69,90,Casual,0.3,0.12664781204644876,24.705921229162048,7.411776368748614,201.5103477670761,28.609456783369648,1.3499999999999999,27.259456783369647,1
69,90,F2P,0.65,0.5961336451920952,0.0,0.0,0.0,0.0,0.0,0.0,0
70,90,Whale,0.05,0.06011002209817291,44.188301933078776,2.209415096653939,311.09062807524026,8.528342273084204,0.225,8.303342273084205,1
70,90,Casual,0.3,0.12053573087930469,10.890205620422485,3.267061686126745,32.42609267009953,12.610858108449236,1.3499999999999999,11.260858108449236,1
70,90,F2P,0.65,0.43885642111890594,0.0,0.0,0.0,0.0,0.0,0.0,0
71,90,Whale,0.05,0.06678309714143543,90.00000477583858,4.500000238791929,2016.524821852132,17.370000921736846,0.225,17.145000921736845,1
71,90,Casual,0.3,0.11350304544676282,28.235137491314607,8.470541247394381,205.17993215013578,32.69628921494231,1.3499999999999999,31.34628921494231,1
71,90,F2P,0.65,0.49250769294740554,0.0,0.0,0.0,0.0,0.0,0.0,0
72,90,Whale,0.05,0.03260633320124179,45.60016293773446,2.2800081468867233,269.690111423062,8.800831446982752,0.225,8.575831446982752,1
72,90,Casual,0.3,0.15254083401860746,15.46085674776602,4.638257024329806,86.60930972961995,17.90367211391305,1.3499999999999999,16.55367211391305,1
72,90,F2P,0.65,0.5792017723732024,0.0,0.0,0.0,0.0,0.0,0.0,0
73,90,Whale,0.05,0.07202514114569222,48.62197514155777,2.431098757077889,457.4024877776226,9.384041202320649,0.225,9.15904120232065,1
