sim_id,pity_threshold,player_type,tier,drop_rate,tier_revenue_contribution
52,0,Whale,Rare,0.15,1.9064658136470958
52,0,Whale,Epic,0.04,5.529830042744311
52,0,Whale,Legendary,0.01,115.46206891736898
52,0,Casual,Common,0.5,0.954266112209324
52,0,Casual,Rare,0.15,5.464006947892663
52,0,Casual,Epic,0.04,8.28974000846809
52,0,Casual,Legendary,0.01,45.98267769658256
53,0,Whale,Common,0.5,0.12113639622302824
53,0,Whale,Rare,0.15,0.15313245776002826
53,0,Whale,Epic,0.04,26.775695049045353
53,0,Whale,Legendary,0.01,250.46130768707076
53,0,Casual,Common,0.5,0.1622014946631251
53,0,Casual,Rare,0.15,3.034112515169665
53,0,Casual,Epic,0.04,9.295265655122732
53,0,Casual,Legendary,0.01,25.354088834038738
54,0,Whale,Common,0.5,0.08051790174876272
54,0,Whale,Rare,0.15,2.9444142963082363
54,0,Whale,Epic,0.04,34.391185944853156
54,0,Whale,Legendary,0.01,40.700410422464444
54,0,Casual,Common,0.5,0.8158425749385624
54,0,Casual,Rare,0.15,7.432834212092464
54,0,Casual,Epic,0.04,3.5508093842358797
54,0,Casual,Legendary,0.01,34.194436177714444
55,0,Whale,Common,0.5,1.3865077428790575
55,0,Whale,Rare,0.15,0.5310650273710302
55,0,Whale,Epic,0.04,12.500693811023524
55,0,Whale,Legendary,0.01,47.48288250486674
55,0,Casual,Common,0.5,1.0840133137065042
55,0,Casual,Rare,0.15,10.62197917094328
55,0,Casual,Epic,0.04,5.964091031961625
55,0,Casual,Legendary,0.01,5.638922373216399
56,0,Whale,Common,0.5,0.2871531240608192
56,0,Whale,Rare,0.15,0.2997848289335665
56,0,Whale,Epic,0.04,2.658166669902923
56,0,Whale,Legendary,0.01,51.620593875398484
56,0,Casual,Common,0.5,0.09215862352501487
56,0,Casual,Rare,0.15,8.179793199760137
56,0,Casual,Epic,0.04,12.121167970441356
56,0,Casual,Legendary,0.01,15.290243557546926
57,0,Whale,Common,0.5,2.5077913039457655
57,0,Whale,Rare,0.15,2.2586961321488817
57,0,Whale,Epic,0.04,10.367137532559632
57,0,Whale,Legendary,0.01,28.980599176942203
57,0,Casual,Common,0.5,1.6269292805081927
57,0,Casual,Rare,0.15,12.943680412218637
57,0,Casual,Epic,0.04,7.218400333338946
57,0,Casual,Legendary,0.01,19.280976671775445
58,0,Whale,Common,0.5,0.2044836775010433
58,0,Whale,Rare,0.15,1.0121376665235706
58,0,Whale,Epic,0.04,9.819249567799684
58,0,Whale,Legendary,0.01,27.264059332992215
58,0,Casual,Common,0.5,0.0930110505365216
58,0,Casual,Rare,0.15,0.5913615777212782
58,0,Casual,Epic,0.04,1.224009457549586
58,0,Casual,Legendary,0.01,0.9560824068055651
59,0,Whale,Common,0.5,0.8414393202548314
59,0,Whale,Rare,0.15,1.2001939170997846
59,0,Whale,Epic,0.04,3.6448483592363665
59,0,Whale,Legendary,0.01,27.105404900202792
59,0,Casual,Common,0.5,0.38517252579945155
59,0,Casual,Rare,0.15,1.8202499598120736
59,0,Casual,Epic,0.04,20.541991196290244
59,0,Casual,Legendary,0.01,32.283364023428625
59,0,F2P,Common,0.5,0.5647588407872167
59,0,F2P,Rare,0.15,0.15714788302057955
59,0,F2P,Epic,0.04,0.6310987508353961
59,0,F2P,Legendary,0.01,1.1588043660914662
60,0,Whale,Common,0.5,0.07566490493082889
60,0,Whale,Rare,0.15,2.8860707995300885
60,0,Whale,Epic,0.04,4.843747692769862
60,0,Whale,Legendary,0.01,9.721035495457208
60,0,Casual,Common,0.5,2.477281035383134
60,0,Casual,Rare,0.15,0.28870127315161775
60,0,Casual,Epic,0.04,1.6860130032447576
60,0,Casual,Legendary,0.01,5.783255972360584
61,0,Whale,Common,0.5,0.11075269827632234
61,0,Whale,Rare,0.15,0.5228991968777615
61,0,Whale,Epic,0.04,10.166009870586578
61,0,Whale,Legendary,0.01,28.63590389676124
61,0,Casual,Common,0.5,0.7830158948782627
61,0,Casual,Rare,0.15,5.880655350301567
61,0,Casual,Epic,0.04,20.867003019583183
61,0,Casual,Legendary,0.01,98.32742881846642
62,0,Whale,Common,0.5,0.7612877701718282
62,0,Whale,Rare,0.15,4.429008733313985
62,0,Whale,Epic,0.04,2.214854245197033
62,0,Whale,Legendary,0.01,3.479277812365545
62,0,Casual,Common,0.5,2.142673250790871
62,0,Casual,Rare,0.15,23.953319388155524
62,0,Casual,Epic,0.04,20.331736318315194
62,0,Casual,Legendary,0.01,29.973018662939303
63,0,Whale,Common,0.5,0.12395064774874527
63,0,Whale,Rare,0.15,10.612193315519711
63,0,Whale,Epic,0.04,29.12633718396512
63,0,Whale,Legendary,0.01,84.81109372256532
63,0,Casual,Common,0.5,2.0013440881230364
63,0,Casual,Rare,0.15,8.269757078414191
63,0,Casual,Epic,0.04,24.649078871520377
63,0,Casual,Legendary,0.01,127.75171482513657
64,0,Whale,Common,0.5,0.4199589072932395
64,0,Whale,Rare,0.15,0.27829501787094796
64,0,Whale,Epic,0.04,8.009776113668199
64,0,Whale,Legendary,0.01,19.747943907546485
64,0,Casual,Common,0.5,4.211994236988651
